#             BLOCK:         BLOCK_MEAN:               MEAN:              ERROR:
                   0           0.0835406           0.0835406                   0
                   1           0.0834675           0.0835041         3.65348e-05
                   2           0.0838454           0.0836178         0.000115705
                   3           0.0829322           0.0834464          0.00018994
                   4           0.0832311           0.0834033         0.000153298
                   5           0.0833459           0.0833938         0.000125533
                   6           0.0834128           0.0833965          0.00010613
                   7           0.0833363            0.083389         9.22184e-05
                   8           0.0835836           0.0834106         8.41561e-05
                   9           0.0833607           0.0834056         7.54369e-05
                  10           0.0833134           0.0833972         6.87482e-05
                  11           0.0836112           0.0834151         6.52431e-05
                  12           0.0833816           0.0834125         6.00699e-05
                  13           0.0835195           0.0834201         5.61368e-05
                  14           0.0830369           0.0833946         5.81705e-05
                  15           0.0832714           0.0833869         5.49559e-05
                  16           0.0834005           0.0833877         5.16283e-05
                  17           0.0832495             0.08338         4.92774e-05
                  18           0.0832438           0.0833728         4.71596e-05
                  19           0.0829659           0.0833525         4.91496e-05
                  20           0.0832634           0.0833482         4.69426e-05
                  21           0.0829468             0.08333         4.83352e-05
                  22           0.0832369           0.0833259         4.63628e-05
                  23            0.083318           0.0833256         4.43902e-05
                  24           0.0828494           0.0833066         4.66439e-05
                  25           0.0832474           0.0833043         4.48718e-05
                  26           0.0830669           0.0832955         4.40641e-05
                  27           0.0832253            0.083293         4.25353e-05
                  28           0.0833802            0.083296         4.11524e-05
                  29           0.0831972           0.0832927         3.98932e-05
                  30           0.0834226           0.0832969         3.88116e-05
                  31            0.083552           0.0833049         3.84153e-05
                  32           0.0839054           0.0833231         4.14424e-05
                  33           0.0834706           0.0833274         4.04386e-05
                  34           0.0836156           0.0833356         4.01205e-05
                  35           0.0833113            0.083335         3.89959e-05
                  36           0.0835818           0.0833416         3.85097e-05
                  37           0.0834276           0.0833439         3.75508e-05
                  38           0.0831013           0.0833377         3.71003e-05
                  39           0.0831638           0.0833333         3.64213e-05
                  40           0.0833689           0.0833342         3.55325e-05
                  41           0.0836368           0.0833414         3.54167e-05
                  42           0.0833055           0.0833406         3.45933e-05
                  43           0.0836244            0.083347          3.4408e-05
                  44            0.083309           0.0833462         3.36453e-05
                  45           0.0835752           0.0833512         3.32803e-05
                  46           0.0833852           0.0833519         3.25726e-05
                  47           0.0827838             0.08334         3.40123e-05
                  48           0.0838296             0.08335          3.4777e-05
                  49           0.0835906           0.0833548         3.44122e-05
                  50           0.0831779           0.0833514         3.39087e-05
                  51           0.0834394           0.0833531         3.32933e-05
                  52           0.0832539           0.0833512         3.27126e-05
                  53           0.0831276           0.0833471         3.23671e-05
                  54           0.0835793           0.0833513         3.20525e-05
                  55           0.0837504           0.0833584         3.22717e-05
                  56           0.0833287           0.0833579         3.17048e-05
                  57           0.0835729           0.0833616         3.13732e-05
                  58           0.0829109            0.083354         3.17688e-05
                  59           0.0835202           0.0833567         3.13575e-05
                  60            0.082954           0.0833501          3.1538e-05
                  61           0.0835945           0.0833541         3.12746e-05
                  62           0.0836522           0.0833588         3.11358e-05
                  63            0.083274           0.0833575         3.06741e-05
                  64           0.0832819           0.0833563         3.02209e-05
                  65           0.0832941           0.0833554         2.97744e-05
                  66           0.0830883           0.0833514         2.95962e-05
                  67           0.0836114           0.0833552         2.94075e-05
                  68           0.0831264           0.0833519         2.91672e-05
                  69           0.0834672           0.0833535         2.87946e-05
                  70           0.0831857           0.0833512         2.84844e-05
                  71           0.0835133           0.0833534         2.81762e-05
                  72           0.0836339           0.0833573         2.80519e-05
                  73           0.0832017           0.0833552         2.77499e-05
                  74           0.0835616           0.0833579         2.75155e-05
                  75           0.0833337           0.0833576         2.71529e-05
                  76           0.0829145           0.0833518         2.74088e-05
                  77           0.0837192           0.0833566         2.74621e-05
                  78            0.083048           0.0833526         2.73922e-05
                  79           0.0829657           0.0833478         2.74767e-05
                  80           0.0833137           0.0833474         2.71386e-05
                  81           0.0833654           0.0833476         2.68065e-05
                  82            0.082874           0.0833419         2.70894e-05
                  83           0.0832109           0.0833403         2.68103e-05
                  84           0.0834654           0.0833418         2.65338e-05
                  85            0.083171           0.0833398         2.62986e-05
                  86           0.0831671           0.0833378         2.60703e-05
                  87           0.0832035           0.0833363         2.58175e-05
                  88           0.0835725            0.083339         2.56633e-05
                  89           0.0828058            0.083333         2.60588e-05
                  90           0.0829758           0.0833291         2.60682e-05
                  91           0.0833817           0.0833297         2.57896e-05
                  92           0.0831835           0.0833281         2.55592e-05
                  93           0.0831515           0.0833262         2.53555e-05
                  94           0.0833297           0.0833263         2.50873e-05
                  95           0.0829632           0.0833225         2.51111e-05
                  96           0.0830614           0.0833198         2.49962e-05
                  97           0.0833125           0.0833197         2.47399e-05
                  98           0.0837029           0.0833236         2.47927e-05
                  99           0.0835937           0.0833263         2.46917e-05
