#             BLOCK:         BLOCK_MEAN:               MEAN:              ERROR:
                   0            0.501438            0.501438                   0
                   1            0.500244            0.500841         0.000596754
                   2            0.501766            0.501149         0.000462409
                   3            0.500113             0.50089         0.000417136
                   4            0.499437              0.5006         0.000434645
                   5            0.499725            0.500454         0.000383628
                   6            0.499247            0.500281          0.00036724
                   7            0.500082            0.500256         0.000319015
                   8            0.498478            0.500059         0.000343785
                   9            0.500614            0.500114         0.000312457
                  10            0.498758            0.499991         0.000308342
                  11             0.49987            0.499981         0.000281657
                  12            0.498266            0.499849         0.000290741
                  13            0.501267             0.49995         0.000287609
                  14            0.499492             0.49992         0.000269488
                  15            0.499378            0.499886         0.000254347
                  16            0.498807            0.499823         0.000247202
                  17            0.500249            0.499846         0.000234264
                  18            0.501092            0.499912         0.000231086
                  19             0.49966            0.499899         0.000219589
                  20            0.500534            0.499929         0.000211044
                  21            0.501184            0.499986         0.000209151
                  22            0.500047            0.499989         0.000199868
                  23            0.499415            0.499965         0.000192849
                  24            0.500831                 0.5          0.00018819
                  25            0.500384            0.500015         0.000181411
                  26             0.49955            0.499997         0.000175409
                  27            0.498425            0.499941         0.000178116
                  28             0.50036            0.499956         0.000172468
                  29            0.500634            0.499978         0.000168148
                  30            0.497488            0.499898         0.000181391
                  31            0.499647             0.49989         0.000175806
                  32            0.500383            0.499905         0.000171049
                  33            0.500832            0.499932         0.000168168
                  34            0.499362            0.499916         0.000164102
                  35            0.499432            0.499903         0.000160044
                  36              0.5002            0.499911         0.000155866
                  37            0.499102            0.499889         0.000153195
                  38            0.499818            0.499887         0.000149227
                  39            0.498346            0.499849         0.000150469
                  40            0.499543            0.499841         0.000146942
                  41             0.49968            0.499838         0.000143453
                  42            0.498735            0.499812         0.000142404
                  43            0.500767            0.499834         0.000140811
                  44            0.499858            0.499834         0.000137648
                  45            0.499248            0.499821         0.000135225
                  46            0.499747             0.49982         0.000132326
                  47            0.500449            0.499833           0.0001302
                  48            0.499116            0.499818         0.000128352
                  49            0.499801            0.499818         0.000125759
                  50            0.502301            0.499867         0.000132533
                  51            0.499509             0.49986         0.000130141
                  52            0.500502            0.499872         0.000128236
                  53            0.498719            0.499851         0.000127637
                  54            0.499679            0.499847         0.000125334
                  55            0.501009            0.499868         0.000124811
                  56            0.500245            0.499875          0.00012278
                  57            0.499316            0.499865         0.000121029
                  58            0.501327             0.49989         0.000121514
                  59            0.499965            0.499891         0.000119478
                  60            0.500307            0.499898         0.000117701
                  61            0.501609            0.499926         0.000119031
                  62            0.500626            0.499937         0.000117653
                  63            0.500257            0.499942         0.000115909
                  64            0.499667            0.499938          0.00011419
                  65            0.499981            0.499938         0.000112448
                  66             0.49962            0.499933         0.000110859
                  67            0.500429            0.499941         0.000109459
                  68            0.500565             0.49995          0.00010824
                  69            0.498968            0.499936           0.0001076
                  70            0.501597            0.499959         0.000108622
                  71            0.500479            0.499966         0.000107346
                  72            0.500667            0.499976         0.000106299
                  73             0.49969            0.499972         0.000104924
                  74            0.499449            0.499965          0.00010375
                  75            0.500019            0.499966         0.000102378
                  76            0.501302            0.499983         0.000102519
                  77            0.502261            0.500012         0.000105327
                  78            0.499904            0.500011         0.000103994
                  79            0.499807            0.500008         0.000102718
                  80            0.500515            0.500015         0.000101634
                  81            0.500701            0.500023         0.000100735
                  82            0.498643            0.500006         0.000100895
                  83            0.499692            0.500003         9.97565e-05
                  84            0.499693            0.499999         9.86431e-05
                  85            0.500391            0.500004         9.75957e-05
                  86            0.500449            0.500009         9.66034e-05
                  87            0.499649            0.500005         9.55866e-05
                  88            0.500579            0.500011         9.47265e-05
                  89            0.499719            0.500008         9.37244e-05
                  90            0.499934            0.500007         9.26923e-05
                  91            0.499758            0.500004         9.17191e-05
                  92            0.498958            0.499993         9.14221e-05
                  93            0.500255            0.499996         9.04872e-05
                  94            0.500389                 0.5         8.96252e-05
                  95            0.499712            0.499997         8.87374e-05
                  96            0.499542            0.499992         8.79433e-05
                  97            0.500996            0.500003         8.76411e-05
                  98            0.502372            0.500026         8.99927e-05
                  99            0.499137            0.500018         8.95312e-05
